transition_type,from_leg_id,to_leg_id,from_datetime,to_datetime,from_label,to_label,from_price,to_price,lvn_price_min,lvn_price_max,lvn_price_center,lvn_volume,lvn_volume_pct,price_change,pct_change,time_delta_minutes
HL_to_HH,4,5,2024-12-01 18:10:00,2024-12-01 18:20:00,HL,HH,68.17,68.33,68.24000000000001,68.27600000000001,68.25800000000001,16194.0,0.0052523641963516,0.1599999999999966,0.0023470734927386,10.0
HL_to_HH,6,7,2024-12-01 18:22:00,2024-12-01 18:24:00,HL,HH,68.26,68.33,68.312,68.348,68.33,23572.0,0.0076453457352353,0.0699999999999931,0.0010254907705828,2.0
HL_to_HH,10,11,2024-12-01 18:40:00,2024-12-01 18:43:00,HL,HH,68.21,68.37,68.24000000000001,68.27600000000001,68.25800000000001,16194.0,0.0052523641963516,0.1600000000000108,0.0023456971118605,3.0
HL_to_HH,18,19,2024-12-01 20:38:00,2024-12-01 21:04:00,HL,HH,68.07,68.32,68.132,68.168,68.15,16084.0,0.0052166867811608,0.25,0.0036726898780667,26.0
HL_to_HH,20,21,2024-12-01 21:06:00,2024-12-01 21:08:00,HL,HH,68.27,68.35,68.312,68.348,68.33,23572.0,0.0076453457352353,0.0799999999999983,0.0011718177823347,2.0
HL_to_HH,22,23,2024-12-01 21:09:00,2024-12-01 21:14:00,HL,HH,68.31,68.41,68.384,68.42,68.402,22930.0,0.0074371193665766,0.0999999999999943,0.0014639145073926,5.0
HL_to_HH,26,27,2024-12-01 21:25:00,2024-12-01 21:31:00,HL,HH,68.31,68.48,68.384,68.42,68.402,22930.0,0.0074371193665766,0.1700000000000017,0.0024886546625677,6.0
HL_to_HH,36,37,2024-12-02 00:34:00,2024-12-02 00:54:00,HL,HH,68.3,68.42,68.384,68.42,68.402,22930.0,0.0074371193665766,0.1200000000000045,0.0017569546120059,20.0
HL_to_HH,38,39,2024-12-02 00:59:00,2024-12-02 01:17:00,HL,HH,68.38,68.54,68.384,68.42,68.402,22930.0,0.0074371193665766,0.1600000000000108,0.0023398654577362,18.0
HL_to_HH,48,49,2024-12-02 02:19:00,2024-12-02 02:38:00,HL,HH,68.54,68.63,68.6,68.636,68.618,35737.0,0.0115909435151919,0.0899999999999892,0.0013131018383423,19.0
