leg_id,datetime,pivot_side,structure_label,pivot_price,price_change,pct_change,swing_direction,threshold_pct
1,2024-12-01 18:03:00,High,HH,68.31,0.0,0.0,Up,0.001
2,2024-12-01 18:06:00,Low,LL,68.1,-0.21000000000000796,-0.0030742204655249683,Down,0.001
3,2024-12-01 18:20:00,High,HH,68.33,0.23000000000000398,0.0033773861967694163,Up,0.001
4,2024-12-01 18:22:00,Low,HL,68.26,-0.06999999999999318,-0.0010244402165958677,Down,0.001
5,2024-12-01 18:24:00,High,HH,68.33,0.06999999999999318,0.001025490770582893,Up,0.001
6,2024-12-01 18:35:00,Low,LL,68.2,-0.12999999999999545,-0.0019025318308208972,Down,0.001
7,2024-12-01 18:43:00,High,HH,68.37,0.1700000000000017,0.002492668621700833,Up,0.001
8,2024-12-01 18:45:00,Low,HL,68.25,-0.12000000000000455,-0.001755155770074679,Down,0.001
9,2024-12-01 19:01:00,High,LH,68.33,0.0799999999999983,0.0011721611721611236,Up,0.001
10,2024-12-01 20:04:00,Low,LL,67.99,-0.3400000000000034,-0.004975852480608833,Down,0.001
11,2024-12-01 20:20:00,High,LH,68.2,0.21000000000000796,0.003088689513163878,Up,0.001
12,2024-12-01 20:38:00,Low,HL,68.07,-0.13000000000000966,-0.0019061583577714147,Down,0.001
13,2024-12-01 21:14:00,High,HH,68.41,0.3400000000000034,0.004994858234170785,Up,0.001
14,2024-12-01 21:19:00,Low,HL,68.3,-0.10999999999999943,-0.0016079520537932712,Down,0.001
15,2024-12-01 21:31:00,High,HH,68.48,0.18000000000000682,0.002635431918008857,Up,0.001
16,2024-12-01 22:24:00,Low,HL,68.35,-0.13000000000000966,-0.001898364485981463,Down,0.001
17,2024-12-01 22:37:00,High,LH,68.43,0.0800000000000125,0.0011704462326262988,Up,0.001
18,2024-12-01 23:50:00,Low,LL,68.3,-0.13000000000000966,-0.0018997515709485713,Down,0.001
19,2024-12-02 00:13:00,High,LH,68.38,0.0799999999999983,0.0011713030746705044,Up,0.001
20,2024-12-02 00:34:00,Low,HL,68.3,-0.0799999999999983,-0.0011699327288681172,Down,0.001
21,2024-12-02 01:17:00,High,HH,68.54,0.2400000000000091,0.0035139092240117353,Up,0.001
22,2024-12-02 01:31:00,Low,HL,68.47,-0.07000000000000739,-0.0010213014298221523,Down,0.001
23,2024-12-02 01:53:00,High,HH,68.71,0.23999999999999488,0.003505184752446322,Up,0.001
24,2024-12-02 02:05:00,Low,HL,68.52,-0.18999999999999773,-0.002765245233590452,Down,0.001
25,2024-12-02 02:09:00,High,LH,68.62,0.10000000000000853,0.0014594279042616787,Up,0.001
26,2024-12-02 02:19:00,Low,HL,68.54,-0.0799999999999983,-0.0011658408627222006,Down,0.001
27,2024-12-02 02:38:00,High,HH,68.63,0.0899999999999892,0.0013131018383423232,Up,0.001
28,2024-12-02 02:47:00,Low,LL,68.49,-0.14000000000000057,-0.002039924231385659,Down,0.001
29,2024-12-02 02:51:00,High,LH,68.57,0.0799999999999983,0.0011680537304716854,Up,0.001
