from_leg_id,from_datetime,from_label,from_pivot_side,from_price,to_leg_id,to_datetime,to_label,to_pivot_side,to_price,price_change,pct_change,time_delta_minutes,threshold_pct
4,2024-12-01 18:22:00,HL,Low,68.26,5,2024-12-01 18:24:00,HH,High,68.33,0.06999999999999318,0.001025490770582893,2.0,0.001
12,2024-12-01 20:38:00,HL,Low,68.07,13,2024-12-01 21:14:00,HH,High,68.41,0.3400000000000034,0.004994858234170785,36.0,0.001
14,2024-12-01 21:19:00,HL,Low,68.3,15,2024-12-01 21:31:00,HH,High,68.48,0.18000000000000682,0.002635431918008857,12.0,0.001
20,2024-12-02 00:34:00,HL,Low,68.3,21,2024-12-02 01:17:00,HH,High,68.54,0.2400000000000091,0.0035139092240117353,43.0,0.001
22,2024-12-02 01:31:00,HL,Low,68.47,23,2024-12-02 01:53:00,HH,High,68.71,0.23999999999999488,0.003505184752446322,22.0,0.001
26,2024-12-02 02:19:00,HL,Low,68.54,27,2024-12-02 02:38:00,HH,High,68.63,0.0899999999999892,0.0013131018383423232,19.0,0.001
34,2024-12-02 03:54:00,HL,Low,68.53,35,2024-12-02 04:03:00,HH,High,68.75,0.21999999999999886,0.0032102728731941976,9.0,0.001
38,2024-12-02 04:32:00,HL,Low,68.58,39,2024-12-02 04:35:00,HH,High,68.66,0.0799999999999983,0.0011665208515601044,3.0,0.001
42,2024-12-02 04:42:00,HL,Low,68.57,43,2024-12-02 04:45:00,HH,High,68.67,0.10000000000000853,0.0014583637159109042,3.0,0.001
44,2024-12-02 04:46:00,HL,Low,68.6,45,2024-12-02 04:50:00,HH,High,68.7,0.10000000000000853,0.001457725947521915,4.0,0.001
46,2024-12-02 04:54:00,HL,Low,68.63,47,2024-12-02 05:06:00,HH,High,68.78,0.15000000000000568,0.0021856331050562616,12.0,0.001
52,2024-12-02 05:56:00,HL,Low,68.62,53,2024-12-02 06:03:00,HH,High,68.74,0.11999999999999034,0.0017487612940831898,7.0,0.001
54,2024-12-02 06:09:00,HL,Low,68.62,55,2024-12-02 06:24:00,HH,High,68.74,0.11999999999999034,0.0017487612940831898,15.0,0.001
56,2024-12-02 06:29:00,HL,Low,68.67,57,2024-12-02 06:58:00,HH,High,68.85,0.1799999999999926,0.00262123197902997,29.0,0.001
58,2024-12-02 07:06:00,HL,Low,68.78,59,2024-12-02 07:19:00,HH,High,68.94,0.1599999999999966,0.0023262576330327356,13.0,0.001
64,2024-12-02 08:13:00,HL,Low,68.75,65,2024-12-02 08:35:00,HH,High,69.04,0.29000000000000625,0.004218181818181899,22.0,0.001
