from_leg_id,from_datetime,from_label,from_pivot_side,from_price,to_leg_id,to_datetime,to_label,to_pivot_side,to_price,price_change,pct_change,time_delta_minutes,threshold_pct
9,2024-12-01 19:01:00,LH,High,68.33,10,2024-12-01 20:04:00,LL,Low,67.99,-0.3400000000000034,-0.004975852480608833,63.0,0.001
17,2024-12-01 22:37:00,LH,High,68.43,18,2024-12-01 23:50:00,LL,Low,68.3,-0.13000000000000966,-0.0018997515709485713,73.0,0.001
29,2024-12-02 02:51:00,LH,High,68.57,30,2024-12-02 03:03:00,LL,Low,68.35,-0.21999999999999886,-0.0032084001750036784,12.0,0.001
49,2024-12-02 05:23:00,LH,High,68.68,50,2024-12-02 05:33:00,LL,Low,68.54,-0.14000000000000057,-0.002038439138031478,10.0,0.001
61,2024-12-02 07:33:00,LH,High,68.86,62,2024-12-02 07:51:00,LL,Low,68.66,-0.20000000000000284,-0.002904443799012557,18.0,0.001
69,2024-12-02 09:10:00,LH,High,69.07,70,2024-12-02 09:18:00,LL,Low,68.77,-0.29999999999999716,-0.004343419719125441,8.0,0.001
71,2024-12-02 09:30:00,LH,High,68.89,72,2024-12-02 09:45:00,LL,Low,68.35,-0.5400000000000063,-0.007838583248657383,15.0,0.001
73,2024-12-02 09:49:00,LH,High,68.42,74,2024-12-02 09:57:00,LL,Low,68.2,-0.21999999999999886,-0.003215434083601254,8.0,0.001
75,2024-12-02 10:05:00,LH,High,68.41,76,2024-12-02 10:17:00,LL,Low,68.16,-0.25,-0.0036544364858939193,12.0,0.001
79,2024-12-02 10:49:00,LH,High,68.37,80,2024-12-02 10:52:00,LL,Low,68.29,-0.0799999999999983,-0.0011701038467163416,3.0,0.001
83,2024-12-02 11:07:00,LH,High,68.46,84,2024-12-02 11:28:00,LL,Low,67.9,-0.5599999999999881,-0.008179959100204304,21.0,0.001
85,2024-12-02 11:31:00,LH,High,68.1,86,2024-12-02 11:44:00,LL,Low,67.83,-0.269999999999996,-0.003964757709251088,13.0,0.001
87,2024-12-02 11:48:00,LH,High,67.96,88,2024-12-02 12:04:00,LL,Low,67.74,-0.21999999999999886,-0.0032371983519717817,16.0,0.001
95,2024-12-02 13:10:00,LH,High,68.05,96,2024-12-02 13:43:00,LL,Low,67.82,-0.23000000000000398,-0.0033798677443057645,33.0,0.001
109,2024-12-02 21:17:00,LH,High,68.07,110,2024-12-02 21:44:00,LL,Low,67.92,-0.14999999999999147,-0.0022036139268398758,27.0,0.001
115,2024-12-02 23:51:00,LH,High,68.21,116,2024-12-03 00:13:00,LL,Low,68.12,-0.0899999999999892,-0.001319454625421379,22.0,0.001
133,2024-12-03 05:53:00,LH,High,68.84,134,2024-12-03 05:58:00,LL,Low,68.66,-0.18000000000000682,-0.0026147588611273864,5.0,0.001
153,2024-12-03 09:03:00,LH,High,69.32,154,2024-12-03 09:06:00,LL,Low,69.07,-0.25,-0.003606462781304054,3.0,0.001
155,2024-12-03 09:20:00,LH,High,69.19,156,2024-12-03 09:38:00,LL,Low,68.75,-0.4399999999999977,-0.006359300476947549,18.0,0.001
169,2024-12-03 11:07:00,LH,High,69.73,170,2024-12-03 11:09:00,LL,Low,69.57,-0.1600000000000108,-0.002294564749749206,2.0,0.001
177,2024-12-03 13:03:00,LH,High,69.98,178,2024-12-03 13:11:00,LL,Low,69.78,-0.20000000000000284,-0.002857959416976308,8.0,0.001
187,2024-12-03 15:15:00,LH,High,70.08,188,2024-12-03 16:32:00,LL,Low,69.89,-0.18999999999999773,-0.002711187214611832,77.0,0.001
195,2024-12-03 22:11:00,LH,High,70.02,196,2024-12-03 22:29:00,LL,Low,69.92,-0.09999999999999432,-0.001428163381890779,18.0,0.001
201,2024-12-04 03:30:00,LH,High,70.14,202,2024-12-04 03:39:00,LL,Low,69.96,-0.18000000000000682,-0.0025662959794697793,9.0,0.001
