trade_id,transition_type,direction,from_leg_id,to_leg_id,target_leg_id,entry_time,entry_price,stop_price,stop_distance,target_time,target_price,exit_time,exit_price,exit_reason,holding_minutes,lvn_price_center,lvn_price_min,lvn_price_max,risk_eur,units,pnl_eur,balance_before_trade,balance_after_trade
1,LH_to_LL,long,17,18,28,2024-12-02 00:18:00,68.34,68.43,0.0900000000000034,2024-12-02 02:48:00,68.49,2024-12-02 00:54:00,68.43,stop,36.0,68.30720000000001,68.2904,68.32400000000001,100.0,1111.111111111069,100.0,10000.0,10100.0
2,HL_to_HH,short,14,15,21,2024-12-02 00:55:00,68.42,68.3,0.1200000000000045,2024-12-02 01:18:00,68.52,2024-12-02 01:18:00,68.52,target,23.0,68.44160000000001,68.4248,68.45840000000001,99.0,824.9999999999687,-82.49999999999218,10000.0,10017.500000000007
3,HL_to_HH,short,20,21,23,2024-12-02 01:33:00,68.48,68.3,0.1800000000000068,2024-12-02 01:54:00,68.7,2024-12-02 01:54:00,68.7,target,21.0,68.44160000000001,68.4248,68.45840000000001,99.82499999999992,554.5833333333119,-122.008333333328,10000.0,9895.49166666668
4,HL_to_HH,short,22,23,27,2024-12-02 02:06:00,68.52,68.47,0.0499999999999971,2024-12-02 02:39:00,68.62,2024-12-02 02:39:00,68.62,target,33.0,68.50880000000001,68.492,68.52560000000001,101.0450833333332,2020.901666666779,-202.09016666669513,10000.0,9693.401499999984
5,HL_to_HH,short,26,27,31,2024-12-02 02:40:00,68.59,68.54,0.0499999999999971,2024-12-02 03:31:00,68.75,2024-12-02 02:44:00,68.54,stop,4.0,68.6096,68.5928,68.6264,103.06598500000015,2061.3197000001205,103.06598500000015,10000.0,9796.467484999983
6,LH_to_LL,long,29,30,36,2024-12-02 03:09:00,68.42,68.57,0.1499999999999914,2024-12-02 04:13:00,68.47,2024-12-02 03:15:00,68.57,stop,6.0,68.44160000000001,68.4248,68.45840000000001,102.03532515000018,680.2355010000398,102.03532515000018,10000.0,9898.502810149983
7,HL_to_HH,short,34,35,39,2024-12-02 04:05:00,68.7,68.53,0.1700000000000017,2024-12-02 04:36:00,68.65,2024-12-02 04:07:00,68.53,stop,2.0,68.7104,68.6936,68.72720000000001,101.01497189850018,594.2057170499951,101.01497189850018,10000.0,9999.517782048482
8,HL_to_HH,short,38,39,43,2024-12-02 04:37:00,68.59,68.58,0.0100000000000051,2024-12-02 04:46:00,68.67,2024-12-02 04:37:00,68.58,stop,0.0,68.6096,68.5928,68.6264,100.00482217951516,10000.4822179464,100.00482217951516,10000.0,10099.522604227997
9,HL_to_HH,short,42,43,45,2024-12-02 04:47:00,68.61,68.57,0.0400000000000062,2024-12-02 04:51:00,68.7,2024-12-02 04:51:00,68.7,target,4.0,68.6096,68.5928,68.6264,99.00477395772003,2475.119348942614,-222.76074140484369,10000.0,9876.761862823154
10,HL_to_HH,short,44,45,47,2024-12-02 04:56:00,68.68,68.6,0.0800000000000125,2024-12-02 05:07:00,68.78,2024-12-02 05:07:00,68.78,target,11.0,68.6096,68.5928,68.6264,101.23238137176848,1265.404767146908,-126.5404767146836,10000.0,9750.221386108471
11,HL_to_HH,short,46,47,51,2024-12-02 05:10:00,68.67,68.63,0.0400000000000062,2024-12-02 05:55:00,68.68,2024-12-02 05:15:00,68.63,stop,5.0,68.7104,68.6936,68.72720000000001,102.49778613891527,2562.4446534724816,102.49778613891527,10000.0,9852.719172247387
12,LH_to_LL,long,49,50,62,2024-12-02 05:38:00,68.59,68.68,0.0900000000000034,2024-12-02 07:52:00,68.66,2024-12-02 05:48:00,68.68,stop,10.0,68.6096,68.5928,68.6264,101.47280827752613,1127.475647528025,101.47280827752613,10000.0,9954.191980524913
13,HL_to_HH,short,52,53,55,2024-12-02 06:05:00,68.71,68.62,0.0899999999999892,2024-12-02 06:25:00,68.72,2024-12-02 06:09:00,68.62,stop,4.0,68.7104,68.6936,68.72720000000001,100.45808019475088,1116.2008910529214,100.45808019475088,10000.0,10054.650060719663
14,HL_to_HH,short,54,55,57,2024-12-02 06:26:00,68.68,68.62,0.0600000000000022,2024-12-02 06:59:00,68.85,2024-12-02 06:59:00,68.85,target,33.0,68.7104,68.6936,68.72720000000001,99.45349939280337,1657.5583232133265,-281.78491494624484,10000.0,9772.865145773418
15,HL_to_HH,short,58,59,63,2024-12-02 07:21:00,68.9,68.78,0.1200000000000045,2024-12-02 08:07:00,68.91,2024-12-02 07:29:00,68.78,stop,8.0,68.912,68.8952,68.92880000000001,102.27134854226584,852.261237852183,102.27134854226584,10000.0,9875.136494315684
16,LH_to_LL,long,61,62,70,2024-12-02 07:54:00,68.69,68.86,0.1700000000000017,2024-12-02 09:19:00,68.77,2024-12-02 08:01:00,68.86,stop,7.0,68.7104,68.6936,68.72720000000001,101.24863505684316,595.5802062167185,101.24863505684316,10000.0,9976.385129372527
17,HL_to_HH,short,64,65,67,2024-12-02 08:38:00,68.98,68.75,0.2300000000000039,2024-12-02 08:51:00,69.09,2024-12-02 08:51:00,69.09,target,13.0,68.9792,68.9624,68.99600000000001,100.23614870627472,435.80934220118695,-47.93902764213031,10000.0,9928.446101730397
18,HL_to_HH,short,66,67,77,2024-12-02 08:52:00,69.06,68.92,0.1400000000000005,2024-12-02 10:30:00,68.75,2024-12-02 08:54:00,68.92,stop,2.0,69.08,69.0632,69.0968,100.71553898269605,719.3967070192544,100.71553898269605,10000.0,10029.161640713093
19,LH_to_LL,long,71,72,74,2024-12-02 09:49:00,68.4,68.89,0.4899999999999949,2024-12-02 09:58:00,68.2,2024-12-02 09:58:00,68.2,target,9.0,68.44160000000001,68.4248,68.45840000000001,99.70838359286908,203.48649712830635,-40.697299425661846,10000.0,9988.464341287432
20,LH_to_LL,long,73,74,76,2024-12-02 09:59:00,68.23,68.42,0.1899999999999977,2024-12-02 10:18:00,68.16,2024-12-02 10:05:00,68.42,stop,6.0,68.24000000000001,68.2232,68.25680000000001,100.11535658712567,526.922929405931,100.11535658712567,10000.0,10088.579697874558
21,LH_to_LL,long,75,76,80,2024-12-02 10:21:00,68.24,68.41,0.1700000000000017,2024-12-02 10:53:00,68.29,2024-12-02 10:23:00,68.41,stop,2.0,68.24000000000001,68.2232,68.25680000000001,99.1142030212544,583.0247236544319,99.1142030212544,10000.0,10187.693900895812
22,LH_to_LL,long,79,80,84,2024-12-02 10:54:00,68.29,68.37,0.0799999999999983,2024-12-02 11:29:00,67.9,2024-12-02 10:56:00,68.37,stop,2.0,68.30720000000001,68.2904,68.32400000000001,98.12306099104188,1226.5382623880496,98.12306099104188,10000.0,10285.816961886854
23,LH_to_LL,long,83,84,86,2024-12-02 11:30:00,67.99,68.46,0.4699999999999988,2024-12-02 11:45:00,67.84,2024-12-02 11:45:00,67.84,target,15.0,67.90400000000001,67.8872,67.92080000000001,97.14183038113146,206.68474549176955,-31.002711823763672,10000.0,10254.814250063091
24,LH_to_LL,long,85,86,88,2024-12-02 11:46:00,67.84,68.1,0.2599999999999909,2024-12-02 12:05:00,67.74,2024-12-02 12:05:00,67.74,target,19.0,67.83680000000001,67.82000000000001,67.85360000000001,97.4518574993691,374.8148365360481,-37.48148365360801,10000.0,10217.332766409483
25,LH_to_LL,long,87,88,96,2024-12-02 12:06:00,67.77,67.96,0.1899999999999977,2024-12-02 13:44:00,67.81,2024-12-02 12:15:00,67.96,stop,9.0,67.76960000000001,67.75280000000001,67.78640000000001,97.82667233590516,514.8772228205597,97.82667233590516,10000.0,10315.159438745388
26,HL_to_HH,short,92,93,99,2024-12-02 13:04:00,68.0,67.94,0.0600000000000022,2024-12-02 14:02:00,68.0,2024-12-02 13:20:00,67.94,stop,16.0,67.97120000000001,67.9544,67.98800000000001,96.84840561254612,1614.1400935423742,96.84840561254612,10000.0,10412.007844357933
28,HL_to_HH,short,98,99,101,2024-12-02 14:04:00,67.98,67.93,0.0499999999999971,2024-12-02 14:28:00,68.12,2024-12-02 14:04:00,67.93,stop,0.0,67.9376,67.9208,67.9544,95.87992155642068,1917.5984311285224,95.87992155642068,10000.0,10507.887765914355
27,LH_to_LL,long,95,96,100,2024-12-02 13:45:00,67.82,68.05,0.2300000000000039,2024-12-02 14:14:00,67.88,2024-12-02 14:14:00,67.88,target,29.0,67.83680000000001,67.82000000000001,67.85360000000001,95.87992155642068,416.8692241583435,25.01215344950156,10000.0,10532.899919363856
29,HL_to_HH,short,102,103,105,2024-12-02 14:39:00,68.13,68.04,0.0899999999999892,2024-12-02 16:32:00,68.18,2024-12-02 15:09:00,68.04,stop,30.0,68.1392,68.1224,68.156,94.67100080636143,1051.900008959698,94.67100080636143,10000.0,10627.570920170218
30,HL_to_HH,short,106,107,113,2024-12-02 20:30:00,68.15,68.1,0.0500000000000113,2024-12-02 23:34:00,68.21,2024-12-02 20:30:00,68.1,stop,0.0,68.1392,68.1224,68.156,93.72429079829784,1874.4858159655305,93.72429079829784,10000.0,10721.295210968516
31,LH_to_LL,long,109,110,116,2024-12-02 21:46:00,67.96,68.07,0.1099999999999994,2024-12-03 00:15:00,68.13,2024-12-02 22:30:00,68.07,stop,44.0,67.9376,67.9208,67.9544,92.78704789031484,843.5186171846847,92.78704789031484,10000.0,10814.08225885883
32,LH_to_LL,long,115,116,120,2024-12-03 00:16:00,68.13,68.21,0.0799999999999983,2024-12-03 02:19:00,68.29,2024-12-03 00:38:00,68.21,stop,22.0,68.1392,68.1224,68.156,91.8591774114117,1148.2397176426707,91.8591774114117,10000.0,10905.941436270243
33,HL_to_HH,short,118,119,121,2024-12-03 02:17:00,68.31,68.3,0.0100000000000051,2024-12-03 03:07:00,68.56,2024-12-03 02:17:00,68.3,stop,0.0,68.30720000000001,68.2904,68.32400000000001,90.94058563729756,9094.058563725104,90.94058563729756,10000.0,10996.88202190754
34,HL_to_HH,short,124,125,127,2024-12-03 04:32:00,68.9,68.72,0.1800000000000068,2024-12-03 04:58:00,68.93,2024-12-03 04:58:00,68.93,target,26.0,68.8784,68.8616,68.8952,90.0311797809246,500.17322100511774,-15.0051966301541,10000.0,10981.876825277386
